Test: frags,Reps:,300,Numbers correspond to the number of times that algorithm was able to correctly classify that specimen
Specimen,Appearences,Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
MN13AA1612,79,77,78,79,79,79,79,79,79,79
MN14AA0109,69,8,14,41,37,50,6,41,0,33
MN14AA0110,79,78,79,76,79,77,78,79,74,74
MN14AA0112,86,82,85,85,84,81,85,83,86,86
MN14AA0114,70,70,70,70,70,70,70,70,70,70
MN14AA0115,78,78,78,78,78,78,78,78,78,78
MN14AA0116,59,59,59,59,59,59,59,59,51,59
MN14AA0118,70,64,69,62,64,70,64,66,70,68
MN14AA0203,72,72,72,72,72,72,72,72,72,72
MN14AA0204,63,63,63,63,63,63,63,63,63,63
MN14AA0205,79,52,29,49,31,43,6,30,0,54
MN14AA0206,73,71,73,73,64,69,66,65,55,58
MN14AA0207,78,1,7,8,78,26,76,78,20,62
MN14AA0208,79,79,79,79,79,79,79,79,79,79
MN14AA0209,80,79,80,80,80,80,80,80,80,80
MN14AA0304,84,84,84,84,84,84,84,84,84,84
MN14AA0306,83,83,83,82,28,83,73,63,67,83
MN14AA0310,72,44,43,47,68,71,67,72,0,72
MN14AA0311,70,70,70,70,51,70,70,43,70,70
MN14AA0312,74,73,74,72,62,74,73,74,0,74
MN14AA0313,66,66,66,66,66,66,66,66,66,66
MN14AA0314,88,0,2,2,29,0,0,55,0,0
MN14AA0317,63,62,63,63,62,63,61,63,61,63
MN14AA0405,68,67,68,67,44,68,61,58,68,68
MN14AA0406,77,77,77,77,76,77,77,77,39,77
MN14AA0407,78,78,78,78,78,78,78,78,78,78
MN14AA0408,68,8,4,1,68,0,0,40,0,0
MN14AA0501,92,92,92,92,92,92,92,90,92,92
MN14AA0506,56,56,56,56,56,56,56,56,56,56
MN14AA0507,66,66,66,66,66,66,66,66,66,66
MN14AA0508,80,80,80,80,80,80,80,80,80,80
MN14AA0509,70,70,70,70,70,70,70,69,70,70
MN14AA0510,66,65,66,66,59,66,66,65,66,66
MN14AA0511,69,69,69,69,69,69,69,69,38,69
MN14AA0513,87,87,87,87,87,87,87,87,43,87
MN14AA0514,69,45,40,46,53,51,37,69,0,40
MN14AA0607,77,77,77,77,77,77,77,77,77,77
MN14AA0608,70,70,70,63,6,46,60,1,70,66
MN14AA0609,75,75,75,75,75,75,75,75,75,75
MN14AA0610,70,70,70,70,66,70,70,70,70,70
MN14AA0611,75,75,75,75,75,75,75,75,75,75
MN15010403,68,68,68,68,66,68,68,64,68,68
MN15010405,70,58,52,52,50,70,70,54,0,64
MN15AA2402,65,1,0,0,0,0,0,0,41,0
MN15AA2403,80,0,0,0,1,0,0,0,0,0
MN15AA2405,87,12,14,6,70,22,13,44,84,0
MN15AA2406,77,0,0,0,3,0,0,0,0,0
MN15AA2407,84,7,1,0,83,5,12,82,0,0
MN15AA2408,86,86,86,86,86,86,86,86,86,82
MN15AA2502,78,54,55,58,23,77,78,10,78,57
MN15AA2504,100,94,93,94,89,54,56,99,100,29
MN15AA2505,87,0,0,0,0,0,0,2,87,0
MN15AA2506,75,75,75,70,10,51,62,5,75,75
MN15AA2702,73,5,2,18,7,71,61,13,72,29
MN15AA2703,64,55,61,60,63,64,64,47,64,64
MN15AA2704,70,70,70,70,69,70,70,70,70,70
MN15AA2705,82,15,12,14,0,0,9,0,82,0
MN15AA2706,76,76,76,76,73,76,76,73,76,76
MN15AA2707,69,35,30,37,69,68,67,69,69,30
MN15AA2708,81,80,81,81,74,76,80,73,79,57
MN15AA2709,70,58,51,54,13,15,24,9,70,55
MN15AA2802,80,80,80,80,80,80,80,80,80,80
MN15AA2803,62,62,62,62,62,62,62,62,62,62
MN15AA2804,84,25,28,34,47,14,42,78,84,3
MN15AA2902,73,73,73,73,36,70,69,54,73,73
MN15AA2903,73,31,38,22,1,0,11,2,73,35
MN15AA3203,71,71,71,70,69,63,71,71,70,71
MN15AA3302,83,83,83,83,83,76,83,83,83,83
MN15AA3303,82,82,82,82,72,82,82,75,82,82
MN15AA3305,63,26,22,36,51,60,61,62,63,61
MN15AA3311,69,7,3,0,69,1,1,69,0,0
MN15AA3401,69,2,2,0,4,0,0,26,0,0
MN15AA3403,83,83,83,83,83,83,83,83,83,83
MN15AA3408,71,71,71,71,0,68,71,0,71,71
MN15AA3409,69,69,69,69,68,69,69,68,69,69
MN15AA3410,66,25,13,40,52,64,65,12,66,60
MN15AA3411,68,0,0,0,0,0,0,0,0,0
MN15AA3412,87,12,18,48,76,70,85,71,87,75
MN15AA3413,80,80,80,80,80,80,80,80,80,80
MN15AA3414,75,69,74,67,75,75,75,74,75,56
MN15AA3415,80,80,80,80,80,80,80,80,80,80
MN15AA3416,77,47,67,22,76,52,76,71,77,76
MN18030703,67,67,67,67,67,67,67,67,67,67
MN18030705,73,0,0,0,7,0,0,3,0,0
MN18030708,76,72,69,68,76,67,67,75,0,12
MN18050302,69,64,61,61,69,62,69,69,69,57
MN18050305,79,7,3,12,3,8,5,4,0,38
MN18050306,77,77,76,76,19,77,77,20,77,77
MN18050308,77,74,75,69,75,77,77,76,77,69
MN18050309,93,4,2,1,55,15,27,82,88,0
MN18050310,75,75,75,75,72,75,75,75,75,75
MN18050311,72,69,61,47,72,61,71,72,67,57
MN18050312,75,0,0,0,0,0,0,0,0,0
MN18050313,78,76,78,78,78,78,78,78,78,78
MN18050314,76,0,0,0,0,0,0,6,47,6
