Method,Split Type,Number of Fragments,Number of Breaks Per Fragment,Number of Features,Accuracy
RF,frag-level,100,20,10,0.560000
SVM,frag-level,100,20,10,0.680000
RF,break-level,100,20,20,1.000000
SVM,break-level,100,20,20,0.574000
RF,frag-level,100,20,20,0.480000
SVM,frag-level,100,20,20,0.440000
RF,break-level,100,20,50,1.000000
SVM,break-level,100,20,50,0.894000
RF,frag-level,100,20,50,0.480000
SVM,frag-level,100,20,50,0.480000
RF,break-level,100,20,100,1.000000
SVM,break-level,100,20,100,1.000000
RF,frag-level,100,20,100,0.640000
SVM,frag-level,100,20,100,0.680000
RF,break-level,1000,2,10,0.888000
SVM,break-level,1000,2,10,0.512000
RF,frag-level,1000,2,10,0.492000
SVM,frag-level,1000,2,10,0.532000
RF,break-level,1000,2,20,0.872000
SVM,break-level,1000,2,20,0.538000
