Test: breaks,Reps:,300,Numbers correspond to the number of times that algorithm was able to correctly classify that specimen
Specimen,Appearences,Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
MN19081022,66,4,9,5,66,21,30,66,66,35
MN19081023,89,65,60,60,89,70,80,89,89,60
MN19081024,57,13,22,10,57,47,47,57,57,33
MN19081201,70,70,70,70,70,70,70,70,70,70
MN19081202,63,63,63,36,63,63,58,63,63,24
MN19081301,71,71,71,71,71,71,70,71,71,69
MN19081302,82,82,82,82,78,82,81,74,82,82
MN19081303,73,67,71,73,73,73,73,73,73,72
MN19081304,76,63,61,69,76,71,73,68,76,73
MN19081305,81,37,57,55,81,79,79,81,81,38
MN19081640,74,58,64,61,74,67,57,74,74,33
