Specimen,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3,nv a 1,nv a 2,nv a 3,nv b 1,nv b 2,nv b 3,nv c 1,nv c 2,nv c 3
MN12AA6204,7116.7007,14415.255208333334,125.438675,29.35998,20.48893,0.025523586,-0.00747266,-0.9996463,0.9901916,0.13759513,0.024253616,-0.13736522,0.9904604,-0.010911286
MN13AA0207,4237.0347,6282.21875,83.15715,25.284063,14.02409,0.05445255,-0.043444958,-0.99757075,0.9958387,0.0754785,0.05107086,-0.073076375,0.99620056,-0.04737417
MN11AA0706,1598.5182,2410.44091796875,67.52536,15.673961,9.590221,0.16533113,-0.049506012,-0.9849948,-0.9829624,-0.08960419,-0.16048646,0.08031462,-0.9947463,0.06347691
MN10AA0203,3283.1309,7811.990885416667,77.00485,24.24311,16.852058,0.029757986,-0.062181924,-0.9976211,-0.9994202,-0.018370258,-0.028666629,0.016544012,-0.9978958,0.06269253
MN10AA2206,3346.1228,4915.122395833333,83.36353,21.688662,10.334688,0.08595143,0.06667248,-0.99406594,0.98733145,0.12787044,0.093945466,-0.13337523,0.9895473,0.05483719
MN10AA3103,3304.4924,5419.7392578125,70.70511,25.606342,10.71749,0.0067305192,-0.022602446,0.9997219,-0.99995804,0.0060608224,0.006869137,0.006214396,0.9997262,0.022560704
MN10AA0904,2556.6501,4775.558268229167,61.636818,23.218496,9.802963,-0.0029711765,0.016606137,0.9998577,0.99965847,0.026008947,0.002538615,0.025963088,-0.99952376,0.016677743
MN12AA1106,2761.6003,4163.821614583333,60.305767,24.016296,11.067455,0.05283821,-8.4545834e-05,0.9986031,-0.9983409,0.022910165,0.052826278,0.022882627,0.9997375,-0.0011261265
MN12AA6006,2405.8433,3628.3391927083335,61.940712,22.605713,11.23126,0.023262627,0.02386122,0.9994446,-0.9848429,0.17242607,0.018806182,0.17188157,0.9847334,-0.027510637
MN10AA2508,2248.3813,4143.319010416667,67.27081,20.983036,8.706232,0.03335177,0.01123883,0.99938047,0.9943425,0.10052612,-0.034314137,0.100849494,-0.99487096,0.007822522
MN10AA2606,2161.4014,2591.5807291666665,107.10263,12.600521,9.091173,-0.04620218,0.017045695,0.9987867,0.9636915,0.26399413,0.040073305,0.26299074,-0.96437365,0.028623894
MN10AA0603,4389.371,8649.932291666666,80.6089,25.30595,17.25242,0.05960658,-0.014237908,-0.9981204,0.9948205,0.083321825,0.05822095,-0.08233627,0.996421,-0.01913069
MN12AA0506,3347.869,5346.623372395833,66.91008,30.648643,11.422586,0.15482515,0.011001766,-0.98788065,0.98792803,0.0035770815,0.1548724,-0.0052376,0.99993306,0.01031513
MN12AA0703,1997.2997,2844.3811848958335,64.29199,17.08723,7.173979,0.07510101,-0.021804238,-0.9969375,-0.99691164,0.021374036,-0.07556654,-0.02295625,-0.9995338,0.020131687
MN19081016,1813.9586,2821.3499348958335,65.258835,12.147348,7.918399,0.011837126,-0.053755518,0.99848396,-0.1335808,-0.9896886,-0.051698387,0.9909672,-0.13276632,-0.018895773
MN14AA0607,9290.841,19249.520833333332,165.827,31.86696,19.624935,0.022926664,0.005315405,-0.999723,0.9952875,0.09412122,0.023325374,-0.09421913,0.9955466,0.00313247
MN13AA1416,1231.4513,1594.0432942708333,51.04458,16.352665,6.754087,0.081238136,0.044065014,-0.99572015,0.99646944,0.0176489,0.082080305,-0.021190235,0.99887276,0.042475674
MN19050229,1600.9978,2115.6800130208335,71.90517,10.987679,7.413722,0.013285232,-0.010966704,0.9998516,-0.9991265,0.03947524,0.013708575,0.039619718,0.99916035,0.010432688
MN12AA0605,3474.013,4590.888020833333,83.39012,24.718973,12.905233,0.0018644152,-0.0033767696,0.99999255,0.99387443,-0.11049267,-0.0022261196,-0.11049936,-0.9938712,-0.0031500808
MN12AA5807,3944.33,8187.671875,80.14312,27.299955,17.493773,0.023981394,-0.020228237,0.9995077,-0.9997118,0.00057740504,0.023997977,0.0010625576,0.9997952,0.02020856
MN10AA2405,2954.5676,5204.201822916667,79.90483,22.70728,12.558285,0.0060751555,0.051096007,-0.9986753,-0.9957347,0.09225285,-0.0013372625,-0.09206231,-0.99442375,-0.051438518
MN10AA2907,793.91425,803.9700520833334,34.50759,12.990055,4.302405,0.10425856,-0.094588876,0.990042,0.9836118,0.15704076,-0.0885777,0.14709847,-0.98305196,-0.10941158
MN11AA0504,623.2737,680.1499837239584,33.586044,10.257854,8.075281,-0.17408898,0.015165117,-0.9846131,-0.5026923,0.8584146,0.102102175,0.84675467,0.51273227,-0.14181714
MN15AA2707,1790.0707,2702.197265625,34.455906,28.438623,11.598209,0.43624794,0.16909617,-0.8837953,0.8992271,-0.117770016,0.4213323,0.03283891,0.97853804,0.20343278
MN12AA0513,1580.4282,1925.1041666666667,45.16157,23.602766,7.463891,0.30668563,-0.028444711,0.95138574,0.9512309,0.044049002,-0.3053187,0.033222888,-0.9986243,-0.040566683
MN12AA0603,4329.5415,6927.58984375,82.562225,29.05616,15.1628895,0.14051306,0.060377017,-0.9882361,0.9708517,0.18735087,0.14948758,-0.19417252,0.9804357,0.03229189
MN12AA0406,3613.2073,6498.834635416667,72.820526,27.289772,17.165611,0.0052328715,-0.05673026,0.99837583,0.99946296,0.03259256,-0.0033865774,0.032347504,-0.9978574,-0.05687035
MN10AA2307,586.964,528.5286865234375,29.173717,12.293997,8.149632,0.52037334,-0.08088548,0.8500995,-0.85072136,0.03723194,0.5242966,0.07405883,0.99602777,0.049436495
MN10AA1905,3728.4246,5549.324869791667,79.81265,26.69126,14.465281,0.028868686,0.019799592,0.9993871,-0.97560865,0.21821676,0.02385856,0.21761063,0.9756994,-0.025616284
MN15AA2408,994.2986,1075.9619954427083,33.700165,16.18301,7.578491,0.19676304,0.008784193,0.9804117,0.9772821,0.078575276,-0.19683896,0.07876519,-0.9968695,-0.006876075
MN19050215,2543.0173,4256.829427083333,76.176056,17.55357,9.609766,-0.112459466,-0.063517846,-0.9916241,0.85147667,-0.5205676,-0.06322081,0.5121918,0.85145456,-0.11262672
MN10AA2305,1179.9867,1576.4036458333333,47.86023,16.601875,8.224443,-0.21885744,-0.051738795,0.9743842,-0.87004954,-0.44170877,-0.21887702,-0.4417185,0.89566535,-0.051655937
MN10AA0105,1272.3094,1816.0100911458333,42.09954,21.448988,9.260241,0.9948841,-0.090112396,-0.045666046,0.066064164,0.238359,0.9689275,-0.07642746,-0.96698743,0.24309278
MN12AA1002,4629.0117,7766.176432291667,75.58115,32.403168,16.691818,0.034952942,0.022622162,0.9991329,0.9993868,0.0012851531,-0.034990925,0.002075609,-0.9997433,0.02256337
MN19080803,2699.08,4073.4928385416665,79.27025,18.63649,10.014116,0.029629102,0.04419451,-0.9985835,-0.99516094,0.094938196,-0.025325853,-0.09368445,-0.99450165,-0.04679358
MN15AA3311,4708.803,6693.9921875,113.724365,24.45657,17.871582,0.07296891,-0.007465519,0.9973063,-0.9842787,0.16073102,0.07321891,0.16084467,0.98697,-0.004380216
MN15AA3302,15217.989,11490.209635416666,105.77696,29.89961,20.501972,-0.014378743,0.01569763,-0.9997734,0.958371,-0.28494158,-0.018257216,0.2851636,0.95841634,0.010947051
MN18030705,3548.4495,7220.630208333333,65.22385,30.951746,15.819636,0.07189904,-0.050949145,-0.9961098,0.996996,0.032509137,0.07030023,-0.028800935,0.998172,-0.05313347
MN12AA5905,4245.8115,7361.024739583333,113.770164,29.620071,13.831081,0.0016342545,0.006916548,0.9999747,-0.99998915,0.004377567,0.0016039995,0.0043663625,0.9999665,-0.0069236266
MN10AA2808,1359.4525,1639.06005859375,50.997173,21.366812,7.7429695,0.09552113,0.07470298,0.99262035,-0.9862462,0.14222522,0.08420411,0.13488534,0.9870114,-0.08726104
MN10AA2113,618.05597,729.3710123697916,30.091234,11.935756,7.031163,0.018722331,-0.037729345,-0.9991126,-0.98801684,0.15242587,-0.024270445,-0.15320632,-0.9875945,0.034423463
MN19050206,3914.5732,6433.835286458333,104.442604,18.121567,9.907631,0.014028462,-0.015743177,0.9997777,-0.9989863,0.04255163,0.014687405,0.042773396,0.9989702,0.015130284
MN14AA0112,2456.3865,4504.839192708333,56.976242,21.883396,14.376642,0.09278898,0.041951455,0.99480164,0.9892512,0.10951931,-0.09688977,0.11301465,-0.993099,0.03133834
MN14AA0317,1139.3567,1484.5333658854167,48.10621,15.276604,7.6437707,0.05899273,-0.023843648,0.9979736,0.9968248,0.05496598,-0.05761157,0.05348093,-0.9982035,-0.027010534
